trace_timestamp_anonymized,request_type,request_count,service_accelerator_hours,total_images,median_exec_time_seconds,p95_exec_time_seconds,hour_index,workload_class,service_quantity_status
2024-11-16 20:00:00,TXT_2_IMG,0.0,0.0,0.0,,,28,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 21:00:00,IMG_2_IMG,0.0,0.0,0.0,,,29,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 21:00:00,INPAINTING,0.0,0.0,0.0,,,29,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 21:00:00,TXT_2_IMG,18.0,0.08777777777777777,130.0,15.0,24.449999999999996,29,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 22:00:00,IMG_2_IMG,30.0,0.2977777777777778,240.0,34.0,43.55,30,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 22:00:00,INPAINTING,0.0,0.0,0.0,,,30,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 22:00:00,TXT_2_IMG,9.0,0.08805555555555555,58.0,37.0,42.199999999999996,30,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 23:00:00,IMG_2_IMG,9.0,0.10166666666666667,72.0,41.0,42.0,31,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 23:00:00,INPAINTING,0.0,0.0,0.0,,,31,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 23:00:00,TXT_2_IMG,6.0,0.059722222222222225,48.0,35.5,37.0,31,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 00:00:00,IMG_2_IMG,0.0,0.0,0.0,,,32,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 00:00:00,INPAINTING,0.0,0.0,0.0,,,32,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 00:00:00,TXT_2_IMG,2.0,0.012222222222222221,2.0,22.0,28.3,32,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 01:00:00,IMG_2_IMG,0.0,0.0,0.0,,,33,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 01:00:00,INPAINTING,0.0,0.0,0.0,,,33,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 01:00:00,TXT_2_IMG,0.0,0.0,0.0,,,33,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 02:00:00,IMG_2_IMG,0.0,0.0,0.0,,,34,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 02:00:00,INPAINTING,0.0,0.0,0.0,,,34,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 02:00:00,TXT_2_IMG,1.0,0.006111111111111111,1.0,22.0,22.0,34,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 03:00:00,IMG_2_IMG,1.0,0.005,1.0,18.0,18.0,35,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-17 03:00:00,INPAINTING,1.0,0.002777777777777778,1.0,10.0,10.0,35,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
