wue_profile,region,wue_l_per_kwh_it,profile_type
factorial_061,southwest,1.15,full-factorial mechanism sensitivity
factorial_062,east,2.0,full-factorial mechanism sensitivity
factorial_062,north,0.36,full-factorial mechanism sensitivity
factorial_062,northwest,2.0,full-factorial mechanism sensitivity
factorial_062,southwest,2.0,full-factorial mechanism sensitivity
factorial_063,east,2.0,full-factorial mechanism sensitivity
factorial_063,north,1.15,full-factorial mechanism sensitivity
factorial_063,northwest,0.36,full-factorial mechanism sensitivity
factorial_063,southwest,0.36,full-factorial mechanism sensitivity
factorial_064,east,2.0,full-factorial mechanism sensitivity
factorial_064,north,1.15,full-factorial mechanism sensitivity
factorial_064,northwest,0.36,full-factorial mechanism sensitivity
factorial_064,southwest,1.15,full-factorial mechanism sensitivity
factorial_065,east,2.0,full-factorial mechanism sensitivity
factorial_065,north,1.15,full-factorial mechanism sensitivity
factorial_065,northwest,0.36,full-factorial mechanism sensitivity
factorial_065,southwest,2.0,full-factorial mechanism sensitivity
factorial_066,east,2.0,full-factorial mechanism sensitivity
factorial_066,north,1.15,full-factorial mechanism sensitivity
factorial_066,northwest,1.15,full-factorial mechanism sensitivity
factorial_066,southwest,0.36,full-factorial mechanism sensitivity
factorial_067,east,2.0,full-factorial mechanism sensitivity
factorial_067,north,1.15,full-factorial mechanism sensitivity
factorial_067,northwest,1.15,full-factorial mechanism sensitivity
factorial_067,southwest,1.15,full-factorial mechanism sensitivity
factorial_068,east,2.0,full-factorial mechanism sensitivity
factorial_068,north,1.15,full-factorial mechanism sensitivity
factorial_068,northwest,1.15,full-factorial mechanism sensitivity
factorial_068,southwest,2.0,full-factorial mechanism sensitivity
factorial_069,east,2.0,full-factorial mechanism sensitivity
factorial_069,north,1.15,full-factorial mechanism sensitivity
factorial_069,northwest,2.0,full-factorial mechanism sensitivity
factorial_069,southwest,0.36,full-factorial mechanism sensitivity
factorial_070,east,2.0,full-factorial mechanism sensitivity
factorial_070,north,1.15,full-factorial mechanism sensitivity
factorial_070,northwest,2.0,full-factorial mechanism sensitivity
factorial_070,southwest,1.15,full-factorial mechanism sensitivity
factorial_071,east,2.0,full-factorial mechanism sensitivity
factorial_071,north,1.15,full-factorial mechanism sensitivity
factorial_071,northwest,2.0,full-factorial mechanism sensitivity
factorial_071,southwest,2.0,full-factorial mechanism sensitivity
factorial_072,east,2.0,full-factorial mechanism sensitivity
factorial_072,north,2.0,full-factorial mechanism sensitivity
factorial_072,northwest,0.36,full-factorial mechanism sensitivity
factorial_072,southwest,0.36,full-factorial mechanism sensitivity
