hour_index,trace_timestamp_utc,request_count,service_accelerator_hours,boundary_fallback_request_count,boundary_fallback_service_accelerator_hours,processed_context_tokens,processed_generated_tokens
124,2024-05-15 04:00:00+00:00,55526,1969.9051054370307,12923,1908.2985832771076,114899339,1388769
125,2024-05-15 05:00:00+00:00,44890,1681.9592303948136,11056,1632.6045915585933,95913552,1124618
126,2024-05-15 06:00:00+00:00,39850,1682.9537678735956,11093,1638.0682646671016,87186572,1059877
127,2024-05-15 07:00:00+00:00,31280,1389.3382331905973,9197,1358.091934566243,71375096,785869
128,2024-05-15 08:00:00+00:00,30239,1361.6957994134832,9021,1332.1025705906359,68813134,735235
129,2024-05-15 09:00:00+00:00,27084,1267.7281648751455,8403,1240.84446299447,61363104,650642
130,2024-05-15 10:00:00+00:00,32767,1490.0444762155414,9867,1457.0287178824747,74373426,819847
131,2024-05-15 11:00:00+00:00,48023,1797.787247722078,11838,1748.0800610411204,101909532,1127477
132,2024-05-15 12:00:00+00:00,91301,3317.299783947904,21832,3223.8624677014477,191696490,2089357
133,2024-05-15 13:00:00+00:00,155325,6028.193475934735,39802,5877.435596347244,334174605,3400053
134,2024-05-15 14:00:00+00:00,209971,7531.60158370284,49612,7326.0473043058,439788219,4570838
135,2024-05-15 15:00:00+00:00,236293,8864.042516789934,58441,8629.7978414685,513000716,5137894
136,2024-05-15 16:00:00+00:00,237652,8877.298251050805,58528,8642.644856615534,511756850,5282453
137,2024-05-15 17:00:00+00:00,261208,10004.741972679769,66022,9749.260161349624,573927385,5704530
138,2024-05-15 18:00:00+00:00,291357,11024.829474695802,72784,10747.783338639712,635513237,6146756
139,2024-05-15 19:00:00+00:00,301105,11312.606812841414,74674,11026.873667695947,657219744,6339476
140,2024-05-15 20:00:00+00:00,293531,11363.056076666568,75052,11082.691733507194,647005822,6312897
141,2024-05-15 21:00:00+00:00,210675,8037.958938001313,53075,7837.417573894025,459867081,4465276
142,2024-05-15 22:00:00+00:00,136118,5104.223230069414,33645,4968.250857723306,287660758,3066391
143,2024-05-15 23:00:00+00:00,110613,3914.9707640867477,25705,3795.7761420055754,228680790,2610811
144,2024-05-16 00:00:00+00:00,92424,3201.6447278538267,21011,3102.6279914288716,186573005,2169138
145,2024-05-16 01:00:00+00:00,83114,2826.396202046798,18526,2735.6758921141914,167951676,1994722
146,2024-05-16 02:00:00+00:00,87755,2702.284155899566,17642,2605.138404873074,168694590,2074677
147,2024-05-16 03:00:00+00:00,67048,2205.1851611574434,14425,2130.094178114391,136247557,1618464
148,2024-05-16 04:00:00+00:00,51448,1827.9049578633874,11996,1771.4114218828586,107118172,1285147
149,2024-05-16 05:00:00+00:00,45180,1610.9549781932096,10595,1564.530177963395,91689847,1062080
150,2024-05-16 06:00:00+00:00,41180,1499.4401353380485,9837,1452.5987126593598,87230656,1048429
151,2024-05-16 07:00:00+00:00,33228,1383.7122576239758,9122,1347.0169215084559,73714905,871248
152,2024-05-16 08:00:00+00:00,31364,1300.1261615407675,8594,1269.0488295816344,70196531,734358
153,2024-05-16 09:00:00+00:00,31657,1446.8002062917924,9576,1414.0576672182606,73474300,833526
154,2024-05-16 10:00:00+00:00,31950,1344.5542831835842,8884,1311.8722134050781,72471992,769656
155,2024-05-16 11:00:00+00:00,49384,2105.3592968290395,13927,2056.5560914106845,110479766,1161872
156,2024-05-16 12:00:00+00:00,96475,3593.717562227195,23623,3488.3337795214047,204292553,2306837
157,2024-05-16 13:00:00+00:00,144644,5448.9930334883875,35927,5305.2265883615755,308584427,3236626
158,2024-05-16 14:00:00+00:00,212817,7866.765313330609,51860,7658.002362357874,453583373,4660316
159,2024-05-16 15:00:00+00:00,229865,8633.829331688103,56956,8410.512582924317,488557624,4983869
160,2024-05-16 16:00:00+00:00,224722,8576.278138542542,56605,8358.681521813873,487300666,4862287
161,2024-05-16 17:00:00+00:00,256700,9542.130162570113,62939,9294.003291254188,550212882,5576670
162,2024-05-16 18:00:00+00:00,283927,10496.371415420641,69185,10216.3303787067,610952669,6130541
163,2024-05-16 19:00:00+00:00,286280,10497.653111240234,69211,10220.169716566732,614393294,6074971
164,2024-05-16 20:00:00+00:00,261620,9960.478034461636,65746,9708.504113296967,567101097,5684832
165,2024-05-16 21:00:00+00:00,189093,6989.18207533897,46041,6798.729015914362,405714405,4161577
166,2024-05-16 22:00:00+00:00,136209,4731.914344412913,31088,4590.66674587315,282986889,3058139
167,2024-05-16 23:00:00+00:00,106481,3690.4829114405547,24240,3579.4442202768,215101062,2481846
