grid_request_id,num_prefill_tokens,num_decode_tokens,request_execution_time,request_model_execution_time,request_scheduling_delay,request_preemption_time
152,2048,256,4.294432709495261,4.294432709495261,0.0,0.0
153,2048,512,8.460399736106986,8.460399736106986,0.0,0.0
154,2048,1024,16.819020829330647,16.819020829330647,0.0,0.0
155,2048,2048,33.62364520244432,33.62364520244432,0.0,0.0
156,3072,1,0.2260122239431472,0.2260122239431472,0.0,0.0
157,3072,2,0.2423655326408497,0.2423655326408497,0.0,0.0
158,3072,4,0.2750721500362546,0.2750721500362546,0.0,0.0
159,3072,8,0.3404853848270645,0.3404853848270645,0.0,0.0
160,3072,16,0.4713118544086841,0.4713118544086841,0.0,0.0
161,3072,32,0.7329647935719236,0.7329647935719236,0.0,0.0
162,3072,64,1.256270671898404,1.256270671898404,0.0,0.0
163,3072,128,2.302976508551365,2.302976508551365,0.0,0.0
164,3072,256,4.39675628852395,4.39675628852395,0.0,0.0
165,3072,512,8.598734088469204,8.598734088469204,0.0,0.0
166,3072,1024,17.014282968359645,17.014282968359645,0.0,0.0
167,4095,1,0.304628709638482,0.304628709638482,0.0,0.0
